seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
2eb70248d66e0e3ef83659f71b244378,Early,160,68,70,25491.32
b37c4c02bda3161a7546a4e6d222d5b2,Early,14,0,14,23502.8
40db9e9aa57f7bb151bcda6b0f9bdbb7,Early,9,3,5,17352.6
4869f7a5dfa277a7dca6462dcf3b52b2,Slight Delay,77,22,48,14311.21
b1b3948701c5c72445495bd161b83a4c,Slight Delay,6,0,6,11781.96
4a3ca9315b744ce9f8e9374361493884,Slight Delay,105,34,60,9467.97000000001
1ca7077d890b907f89be8c954a02686a,Early,100,32,61,8092.59
cf8ab1616079e2793aa29d524df01bb1,Early,5,2,3,7602.8
7c67e1448b00f6e969d365cea6b010ab,Slight Delay,76,14,50,7463.91
fa1c13f2614d7b5c4749cbc52fecda94,Slight Delay,29,9,18,7403.04
