seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
2709af9587499e95e803a6498a5a56e9,Slight Delay,22,0,22,-137.79
f84a00e60c73a49e7e851c9bdca3a5bb,Very Late,4,1,2,-46.75
9cea4682e16655f7da87f406902e989e,Early,9,3,6,-43.71
8d92f3ea807b89465643c219455e7369,Very Late,6,0,6,-40.5
4a3ccda38b2129705f3fb522db62ca31,Late,3,0,3,-20.46
d4a5e99e0dd915df64ba55a7fbd583fd,Early,6,1,5,-19.45
23613d49c3ac2bd302259e55c06c050c,Late,3,0,3,-14.87
e8f6dc8e6a1dcde89d20e3995c8d90b3,Late,1,0,1,-14.56
138dbe45fc62f1e244378131a6801526,Slight Delay,1,0,1,-11.33
128639473a139ac0f3e5f5ade55873a5,Late,7,0,6,-10.84
94b9108d4b637ba65bb4f1e53cfcf8d8,Very Late,1,0,1,-10.56
8fdca8e349553f99bc738833a62c8802,Slight Delay,1,0,1,-8.41
8b321bb669392f5163d04c59e235e066,Slight Delay,60,17,37,-8.09999999999997
0e44d110fa6a54e121cb2c095a77762f,Slight Delay,1,0,1,-7.65
9d39404483343dd55c7ae254494d8388,Very Late,1,0,1,-7.14
8d92f3ea807b89465643c219455e7369,Early,1,0,1,-7.06
c1d1ebb4745cc43cb6f05e9c8a705c9a,Slight Delay,1,0,1,-6.71
1fbe10c70e30765ed1de86d9f7e98409,Early,5,0,5,-6.2
ec4608a1f76453166bb312b2968aeaf4,Late,1,0,1,-5.91
344223b2a90784f64136a8a5da012e7f,Very Late,1,0,1,-5.89
4ebdc7e6cd6102a022dadc49156d4ea8,Very Late,2,0,2,-5.46
37515688008a7a40ac93e3b2e4ab203f,Late,5,2,3,-4.9
bd15ee794d5e640d9dd71b665b2ab15b,Slight Delay,1,0,1,-4.14
9996ae921c50e8dff411ac69c0b4bb8b,Early,1,0,1,-3.57
238fac594e170b59c6d228f5a4f4f1d9,Very Late,1,0,1,-3.25
e3a386fc36e22064434e1fa256f6a9fa,Late,1,0,1,-3.08
0adac9fbd9a2b63cccaac4f8756c1ca8,Late,2,0,2,-2.7
1fa2d3def6adfa70e58c276bb64fe5bb,Early,1,0,1,-2.1
11bfa66332777660bd0640ee84d47006,Late,4,0,4,-1.92999999999999
00720abe85ba0859807595bbf045a33b,Late,1,0,1,-1.73
42d4b7e70819438f5ada61c965e92d7e,Early,3,0,3,-1.58
01fd077212124329bac32490e8ef80d9,Slight Delay,1,0,1,-1.23
4e85b538b0dad58852641540686d0e14,Very Late,1,0,1,-0.709999999999999
432c37c9dfba871172ec162e20118b8c,Very Late,1,0,1,-0.629999999999999
79ebd9a61bac3eaf882805ed4ecfa12a,Late,1,0,1,-0.199999999999999
6614814a00d344b846ae209f95ee7e3f,Early,1,0,1,0.31
8d79c8a04e42d722a75097ce5cbcf2ef,Slight Delay,1,0,1,0.800000000000001
89bc797e2e29667aa035d4368f9b7f92,Late,1,0,1,1.38
198c7ea11960a9844b544d9bcdca860c,Very Late,1,0,1,1.89
20d53aad4fe5ee93a64f8839609d3586,Late,1,0,1,2.02
db4350fd57ae30082dec7acbaacc17f9,Late,2,0,2,2.2
3d700782d7818f2c1e0d7a9e9d75fc00,Late,1,0,1,3.02
3d5d0dc7073a299e31fa718ce1bc00b6,Slight Delay,2,0,2,3.06
cc1f04647be106ba74e62b21f358af25,Early,1,0,1,3.61
7b7f91e98f8c6def45a1407923304402,Late,1,0,1,3.76
430315b7bb4b6e4b3c978f9dfa9b0558,Slight Delay,1,0,1,3.85
9b00ed88b7fdb95d6ff76e27c1b52d16,Very Late,1,0,1,3.9
a17f621c590ea0fab3d5d883e1630ec6,Late,1,0,1,4.1
5670f4db5b62c43d542e1b2d56b0cf7c,Slight Delay,1,0,1,4.14
52454f90d4c30c016768db02f88c1a74,Very Late,2,0,2,5.02
c1dde11f12d05c478f5de2d7319ad3b2,Early,1,0,1,5.11
6d988d6174a2c27441597174f8905515,Late,1,0,1,5.48
6d988d6174a2c27441597174f8905515,Very Late,1,0,1,5.48
