seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
53243585a1d6dc2643021fd1853d8905,Early,379,313,38,194018.22
4869f7a5dfa277a7dca6462dcf3b52b2,Early,986,837,71,177733.55
fa1c13f2614d7b5c4749cbc52fecda94,Early,507,466,20,163420.82
7e93a43ef30c4f03f38b393420bc753a,Early,301,262,17,148436.66
4a3ca9315b744ce9f8e9374361493884,Early,1702,1234,245,142526.6
da8622b14eb17ae2831f4ac5b9dab84a,Early,1433,1145,170,124252.58
7c67e1448b00f6e969d365cea6b010ab,Early,1202,720,303,119897.16
7a67c85e85bb2ce8582c35f2203ad736,Early,1069,908,73,109482.66
46dc3b2cc0980fb8ec44634e21d2718e,Early,478,414,38,101054.09
955fee9216a65b617aa5c0531780ce60,Early,1312,1049,137,94951.81
1025f0e2d44d7041d6cf58b6550e0bfa,Early,1272,950,219,92174.4599999997
7d13fca15225358621be4086e1eb0964,Early,493,416,49,89146.4199999998
620c87c171fb2a6dd6e8bb4dec959fc6,Early,681,598,47,88532.2199999999
5dceca129747e92ff8ef7a997dc4f8ca,Early,316,247,50,87737.74
6560211a19b47992c3666cc44a7e94c0,Early,1822,1367,264,84530.8799999999
cc419e0650a3c5ba77189a1882b7556a,Early,1629,1309,166,71366.8899999997
edb1ef5e36e0c8cd84eb3c9b003e486d,Early,155,142,6,70433.28
3d871de0142ce09b7081e2b9d1733cb1,Early,1041,855,89,64890.5200000001
1f50f920176fa81dab994f9023523100,Early,1719,1346,243,64823.4300000006
a1043bafd471dff536d0c462352beb48,Early,702,608,49,63877.0399999999
ccc4bbb5f32a6ab2b7066a4130f114e3,Early,174,157,8,62898.69
fe2032dab1a61af8794248c8196565c9,Early,275,250,13,54652.59
f7ba60f8c3f99e7ee4042fdef03b70c4,Early,190,174,8,52720.16
e882b2a25a10b9c057cc49695f222c19,Early,60,56,3,49743.85
8581055ce74af1daba164fdbd55a40de,Early,382,337,21,49586.24
04308b1ee57b6625f47df1d56f00eedf,Early,79,64,11,48790.58
37be5a7c751166fbc5f8ccba4119e043,Early,270,234,20,47470.9600000001
cca3071e3e9bb7d12640c9fbe2301306,Early,774,556,126,46270.6
522620dcb18a6b31cd7bdf73665113a9,Early,155,124,18,44188.9
25c5c91f63607446a97b143d2d535d31,Early,255,177,55,43930.45
966cb4760537b1404caedd472cc610a5,Early,66,50,8,43655.29
de722cd6dad950a92b7d4f82673f8833,Early,357,301,42,43218.01
2bf6a2c1e71bbd29a4ad64e6d3c3629f,Early,27,23,2,42444.09
ceaec5548eefc6e23e6607c5435102e7,Early,189,158,15,41828.8
218d46b86c1881d022bce9c68a7d4b15,Early,378,322,28,41782.16
7ddcbb64b5bc1ef36ca8c151f6ec77df,Early,301,228,39,40983.55
17e34d8224d27a541263c4c64b11a56b,Early,232,200,22,39957.72
ba90964cff9b9e0e6f32b23b82465f7b,Early,36,32,0,39780.68
f5a590cf36251cf1162ea35bef76fe84,Early,104,93,6,39328.1
b839e41795b7f3ad94cc2014a52f6796,Early,34,26,5,39001.57
850f4f8af5ea87287ac68de36e29107f,Early,173,148,13,38617.55
b2ba3715d723d245138f291a6fe42594,Early,311,257,27,37959.08
c3cfdc648177fdbbbb35635a37472c53,Early,305,267,21,36765.11
59417c56835dd8e2e72f91f809cd4092,Early,18,16,2,35260.23
eeb6de78f79159600292e314a77cbd18,Early,79,69,4,35210.47
f8db351d8c4c4c22c6835c19a46f01b0,Early,660,561,45,35027.42
b33e7c55446eabf8fe1a42d037ac7d6d,Early,131,115,11,34966.92
c826c40d7b19f62a09e2d7c5e7295ee2,Early,323,276,37,34686.18
17f51e7198701186712e53a39c564617,Early,54,46,2,34387.55
4d6d651bd7684af3fffabd5f08d12e5a,Early,369,310,39,33614.2499999999
77530e9772f57a62c906e1c21538ab82,Early,330,282,32,33117.46
834f3294fba9f932f56edc879193f925,Early,60,55,2,32354.71
4e922959ae960d389249c378d1c939f5,Early,390,297,66,32162.51
8160255418d5aaa7dbdc9f4c64ebda44,Early,331,266,38,30300.29
5c243662ce92d84573bfaff24c3e3700,Early,96,74,10,30163.66
e9779976487b77c6d4ac45f75ec7afe9,Early,667,562,64,29236.76
d91fb3b7d041e83b64a00a3edfb37e4f,Early,506,404,59,29194.06
7178f9f4dd81dcef02f62acdf8151e01,Early,206,158,29,29066.13
c70c1b0d8ca86052f45a432a38b73958,Early,298,252,27,28650.3400000001
17a053fcb14bd219540cbde0df490be0,Early,135,111,15,28598.33
634964b17796e64304cadf1ad3050fb7,Early,286,212,42,28236.0
70eea00b476a314817cefde4aad4f89a,Early,104,93,5,26860.66
9c0e69c7bf2619675bbadf47b43f655a,Early,177,142,22,26675.87
7142540dd4c91e2237acb7e911c4eba2,Early,300,242,32,26668.74
391fc6631aebcf3004804e51b40bcf1e,Early,546,425,68,26143.99
2528513dd95219a6013d4d05176e391a,Early,153,114,22,26117.24
c3867b4666c7d76867627c2f7fb22e21,Early,211,172,20,25369.75
7299e27ed73d2ad986de7f7c77d919fa,Early,339,293,22,25224.74
0b90b6df587eb83608a64ea8b390cf07,Early,207,156,30,24938.61
712e6ed8aa4aa1fa65dab41fed5737e4,Early,68,44,19,24570.3
d23019c84ffae2d5ef2270367b8605fc,Early,38,35,1,24521.56
e9bc59e7b60fc3063eb2290deda4cced,Early,222,182,25,24514.51
76d5af76d0271110f9af36c92573f765,Early,140,112,18,24449.23
7681ef142fd2c19048da7430856b5588,Early,67,56,9,24403.2
dbc22125167c298ef99da25668e1011f,Early,403,331,28,24268.15
e59aa562b9f8076dd550fcddf0e73491,Early,73,69,2,23818.93
0241d4d5d36f10f80c644447315af0bd,Early,231,196,25,23138.3
12b9676b00f60f3b700e83af21824c0e,Early,130,119,4,22363.46
87142160b41353c4e5fca2360caf6f92,Early,318,279,14,22345.52
2b3e4a2a3ea8e01938cabda2a3e5cc79,Early,52,44,4,22269.43
1c68394e931a64f90ea236c5ea590300,Early,169,131,22,22127.44
1835b56ce799e6a4dc4eddc053f04066,Early,481,328,99,21963.49
900ba814c251a692506d7834c1218441,Early,72,62,3,21926.11
b32be1695eb7ec5f10f72d9610a12527,Early,42,34,5,21891.99
